Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	52.5	68.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.09384164222874	0.0	8.196480938416421	6.055718475073314	2.6832844574780057	1.9061583577712609	1.129032258064516	0.48387096774193544	0.3225806451612903	0.13196480938416422	0.029325513196480937	0.029325513196480937	0.029325513196480937	0.0	0.014662756598240468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009140747135860088	0.0	0.005388586637053639	0.00948477867906956	0.009002216468644228	0.011296009231435334	0.013392609485372622	0.01167100565607119	0.013862503964506152	0.011967060977562772	0.005380758536675484	0.010157584423345552	0.021961972746918045	0.0	0.03619798479811857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	57.5	193.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.64876033057851	0.0	8.75	6.585743801652892	2.53099173553719	1.6683884297520661	1.0898760330578512	0.4597107438016529	0.21694214876033058	0.06198347107438017	0.025826446280991736	0.030991735537190084	0.010330578512396695	0.015495867768595042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00947056499394357	0.0	0.005752484929627476	0.010465684185830541	0.008635672541189783	0.010232843521078967	0.013517198373854207	0.011264509801739228	0.010889777319416464	0.006428252805112156	0.0058085902026190845	0.012978881084629327	0.00828445449094381	0.023803685252653965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	62.5	178.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.735129068462406	0.0	10.37598204264871	6.986531986531987	2.974186307519641	1.9584736251402919	1.4085297418630753	0.5387205387205387	0.2469135802469136	0.1234567901234568	0.15712682379349047	0.03367003367003367	0.011223344556677891	0.011223344556677891	0.0	0.0	0.0056116722783389455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01076156053967564	0.0	0.006821449180619659	0.011147050100033572	0.010045989998570171	0.011980163318475375	0.017370714241515244	0.013071418421653118	0.012306801361611667	0.012046621017122214	0.028190545403819975	0.015380237430320687	0.007470608489445865	0.0194929021173353	0.0	0.0	0.06442552078971128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	67.5	262.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.955496386458734	0.0	9.9771776340814	7.474324838341575	2.97831875237733	2.046405477367821	1.6812476226702169	0.498288322556105	0.18638265500190188	0.08748573602130089	0.098896918980601	0.08748573602130089	0.0076074553062000765	0.0076074553062000765	0.0076074553062000765	0.0076074553062000765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011232528442027701	0.0	0.006559264454887951	0.01185842844320121	0.009968140847841934	0.012510345312814686	0.020240180845010527	0.012172358747956713	0.008742095651803033	0.008671775903649008	0.020149362777551638	0.03653559355778057	0.0058146630503457765	0.015542238310757671	0.023253878943739866	0.04450343824073217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	72.5	138.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.38383838383839	0.0	11.002886002886003	7.922077922077922	3.1601731601731604	1.9985569985569986	1.4790764790764792	0.5411255411255411	0.28860028860028863	0.07936507936507937	0.07215007215007216	0.06493506493506494	0.021645021645021648	0.01443001443001443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011323385180171924	0.0	0.007233592675886953	0.012517816063852558	0.010507531758457214	0.012263670861115105	0.018302401005593615	0.013850557028647131	0.014046185715044573	0.00798524846577095	0.014952271400234737	0.02329517396684099	0.013217101819942133	0.02410953630709065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	77.5	135.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.67775314116777	0.0	9.475240206947523	6.614929785661492	2.963784183296378	1.9955654101995564	1.4264597191426458	0.8425720620842572	0.2808573540280857	0.11825572801182556	0.06651884700665188	0.014781966001478195	0.022172949002217293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010961502990021747	0.0	0.006229277313721823	0.010454331232941613	0.00996929720868143	0.012526911103145995	0.017998729964432206	0.02076258375514885	0.01294329239738167	0.0129773362750421	0.01443434599417074	0.004679042038753517	0.014744321764887562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	82.5	226.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.468667255075026	0.0	10.097087378640778	7.2197705207413945	2.8905560458958517	2.05207413945278	1.3857016769638129	0.48102383053839365	0.2118270079435128	0.10150044130626655	0.0529567519858782	0.0044130626654898504	0.0044130626654898504	0.008826125330979701	0.0	0.0	0.0044130626654898504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011341378453276513	0.0	0.006638096340430041	0.011534124516442592	0.009679557523748546	0.012657260761721786	0.017197652365389775	0.011642607042468778	0.010089240433231176	0.010575058153468465	0.009209586756158657	0.0014475392668728546	0.0034413036348084278	0.01350035708133752	0.0	0.0	0.04737908007017914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	87.5	198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.16161616161616	0.0	10.292929292929292	7.484848484848484	2.7676767676767677	2.1464646464646466	1.4292929292929293	0.5606060606060606	0.3383838383838384	0.09595959595959595	0.050505050505050504	0.030303030303030304	0.030303030303030304	0.010101010101010102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012124699476744166	0.0	0.006766848073062508	0.011966218606430311	0.009313144310458581	0.013031847197269492	0.017507279454491802	0.013696106035929027	0.016363405432636084	0.008844242187217369	0.009673233762527565	0.013528831921376815	0.021260758019235326	0.012250405347855804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	92.5	170.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.59530791788856	0.0	10.193548387096774	7.472140762463343	2.973607038123167	2.2463343108504397	1.4545454545454546	0.6217008797653959	0.3460410557184751	0.07624633431085044	0.02932551319648094	0.005865102639296188	0.017595307917888565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015610492692857763	0.0	0.006701512397280304	0.011997044074116437	0.010056360652137308	0.013590229794248676	0.018053922896171436	0.015392971781127238	0.01618576371886314	0.007631533196549772	0.006191363201942228	0.0024741329683283346	0.010930827357008677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
gf386c1b	HDR20211004173542	2021-10-04 17:35:42	97.5	193.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.14152892561984	0.0	9.080578512396695	6.957644628099174	2.365702479338843	1.7613636363636365	1.4204545454545454	0.6043388429752067	0.44421487603305787	0.14462809917355374	0.05681818181818182	0.05681818181818182	0.015495867768595042	0.025826446280991736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020392830429462248	0.0	0.0059698161194126935	0.011046026022287093	0.007909413292910806	0.010968902573112468	0.017885141144417034	0.015053366522263145	0.021000902406800543	0.014281060527354096	0.010956180364051707	0.02316329469925492	0.011412922873979119	0.03589636094201289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
